10000(x),10000(y),IUF-2,IUF-3,IUF-4,IUF-5,IUF-6,IUF-7,IUF-8,IUF-9,IUF-10
3335,2133,1,1,1,1,1,1,1,1,1
7757,9675,1,1,1,1,1,1,1,1,1
6987,9158,1,1,1,1,1,1,1,1,1
7950,5518,1,1,1,1,1,1,1,1,1
9791,2357,1,1,1,1,1,1,1,1,1
3738,8944,1,1,1,1,1,1,1,1,1
8232,5648,1,1,1,1,1,1,1,1,1
1660,3848,1,1,1,1,1,1,1,1,1
4775,4497,1,1,1,1,1,1,1,1,1
4391,5190,1,1,1,1,1,1,1,1,1
747,5322,1,1,1,1,1,1,1,1,1
6111,504,1,1,1,1,1,1,1,1,1
3410,219,1,1,1,1,1,1,1,1,1
325,1937,1,1,1,1,1,1,1,1,1
6641,3486,1,1,1,1,1,1,1,1,1
7103,5579,1,1,1,1,1,1,1,1,1
8531,4189,1,1,1,1,1,1,1,1,1
9279,8277,1,1,1,1,1,1,1,1,1
3379,120,1,1,1,1,1,1,1,1,1
5667,2867,1,1,1,1,1,1,1,1,1
9996,1814,1,1,1,1,1,1,1,1,1
2166,1621,1,1,1,1,1,1,1,1,1
2776,1788,1,1,1,1,1,1,1,1,1
706,4122,1,1,1,1,1,1,1,1,1
7860,3558,1,1,1,1,1,1,1,1,1
9786,409,1,1,1,1,1,1,1,1,1
776,6742,1,1,1,1,1,1,1,1,1
9679,2384,1,1,1,1,1,1,1,1,1
9320,9692,1,1,1,1,1,1,1,1,1
268,6065,1,1,1,1,1,1,1,1,1
9694,8558,1,1,1,1,1,1,1,1,1
8936,5821,1,1,1,1,1,1,1,1,1
1977,2279,1,1,1,1,1,1,1,1,1
1249,6772,1,1,1,1,1,1,1,1,1
6323,6282,1,1,1,1,1,1,1,1,1
8673,5131,1,1,1,1,1,1,1,1,1
8680,3544,1,1,1,1,1,1,1,1,1
1498,7763,1,1,1,1,1,1,1,1,1
2676,1216,1,1,1,1,1,1,1,1,1
8787,849,1,1,1,1,1,1,1,1,1
956,1840,1,1,1,1,1,1,1,1,1
985,5126,1,1,1,1,1,1,1,1,1
7659,3433,1,1,1,1,1,1,1,1,1
5478,8806,1,1,1,1,1,1,1,1,1
1934,9896,1,1,1,1,1,1,1,1,1
9562,3099,1,1,1,1,1,1,1,1,1
1134,3041,1,1,1,1,1,1,1,1,1
374,4595,1,1,1,1,1,1,1,1,1
243,1279,1,1,1,1,1,1,1,1,1
7470,6956,1,1,1,1,1,1,1,1,1
4562,4557,1,1,1,1,1,1,1,1,1
6634,1112,1,1,1,1,1,1,1,1,1
912,5103,1,1,1,1,1,1,1,1,1
3727,6148,1,1,1,1,1,1,1,1,1
3634,4188,1,1,1,1,1,1,1,1,1
8632,4404,1,1,1,1,1,1,1,1,1
45,9283,1,1,1,1,1,1,1,1,1
9985,5201,1,1,1,1,1,1,1,1,1
2702,3285,1,1,1,1,1,1,1,1,1
5344,6627,1,1,1,1,1,1,1,1,1
3912,7728,1,1,1,1,1,1,1,1,1
727,1727,1,1,1,1,1,1,1,1,1
1512,3116,1,1,1,1,1,1,1,1,1
8649,7351,1,1,1,1,1,1,1,1,1
4378,7369,1,1,1,1,1,1,1,1,1
3626,4133,1,1,1,1,1,1,1,1,1
8442,8836,1,1,1,1,1,1,1,1,1
1120,6242,1,1,1,1,1,1,1,1,1
6454,4114,1,1,1,1,1,1,1,1,1
4211,3273,1,1,1,1,1,1,1,1,1
6200,2927,1,1,1,1,1,1,1,1,1
759,3336,1,1,1,1,1,1,1,1,1
4727,9765,1,1,1,1,1,1,1,1,1
4795,6039,1,1,1,1,1,1,1,1,1
9435,1487,1,1,1,1,1,1,1,1,1
1077,5430,1,1,1,1,1,1,1,1,1
9380,3255,1,1,1,1,1,1,1,1,1
7001,9661,1,1,1,1,1,1,1,1,1
